PM10_GRIMM,PM25_GRIMM,PM1_GRIMM,PM10_OPC_N2_1,PM25_OPC_N2_1,PM1_OPC_N2_1,PM10_OPC_N2_2,PM25_OPC_N2_2,PM1_OPC_N2_2,PM25_NOVA,PM10_NOVA,PM25_EVM7,Temperature_dht11_1,RH_dht11_1,Temperature_dht11_2,RH_dht11_2,Temperature_kestrel,RH_kestrel,Wind_Speed_KESTREL
38.17,26.57,18.85,19.49,17.5,13.98,19.63,16.5,13.02,16.03,21.47,NA,34,64,34,57.13,33.9,56.4,0
38.3,26.21,18.58,19.89,17.51,13.98,18.54,16.25,12.88,15.77,20.02,NA,34,64,34,57.88,33.9,56.54,0
36.21,26.18,18.58,19.86,17.68,14.03,17.94,15.93,12.81,16.08,22.1,NA,34,64,34,57.81,33.9,56.6,0
37.28,26.41,18.62,19.3,17.48,13.85,19.42,16.12,13.01,16.15,21.93,NA,34,64,34,57.88,33.9,56.6,0
38.05,27.44,18.84,19.11,17.06,13.6,18.34,15.81,12.79,16.03,23.61,NA,34,64,34,57.94,33.9,56.6,0
35.9,26.81,18.62,18.75,17.27,13.8,18.51,15.95,12.71,16.09,21.21,NA,34,64,34,58,33.9,56.69,0
36.29,26.51,18.62,19.44,17.39,13.83,17.74,15.53,12.4,15.95,20.51,NA,34,64,34,58,33.9,56.7,0
35.81,25.9,18.47,18.46,16.78,13.41,16.76,15.38,12.45,16.33,21.29,NA,33.94,64,34,58,33.9,56.73,0
105.97,54.35,36.13,37.6,29.44,24.49,45.55,35.13,29.53,34.58,48.14,75.53,37,63.2,39,55.8,34.05,69.65,1.02
111.34,53.94,35.4,66.15,38.71,31.77,47.48,34.96,28.68,30.23,44.47,73.87,36.29,64.82,39,56.5,34.09,70.63,0.43
101.34,51.56,35,49.88,37.32,30.89,49.51,34.94,28.81,30.86,43.56,68.92,34.28,73.06,39,55.32,34.46,69.83,0.31
114.97,54.02,35.73,58.47,37.63,30.87,56.42,34.8,28.46,33.05,46.3,68.57,35,68.94,38.71,56.88,33.94,70.2,0.84
110.17,54.1,35.59,49.73,37.83,31,43.94,34.44,28.49,30.12,42.96,72.98,35,70.22,39,56.95,34.29,70.31,0.51
97.96,53.36,35.52,52.41,38.94,32.02,50.33,36.53,30.28,31.52,44.89,72.63,35,69.47,39.12,55.18,34.06,70.01,0.5
110.46,53.58,35.97,47.2,38.09,31.68,50.23,36.89,30.73,33.01,46.8,75.18,35,69.11,39,55.83,33.87,70.89,0.86
102.24,54.69,36.43,50.45,39.36,32.73,53.01,37,30.69,33.23,47.36,70.15,35,68.83,39.88,54.88,34.27,70.87,0.58
96.6,53.53,36.27,45.49,37.41,31.18,42.65,34.93,29.24,33.38,47.72,69.8,35,68.06,39.53,54.33,33.93,69.9,1.22
95.53,52.71,36.42,55.69,38.67,31.82,51.55,36.74,30.5,31.33,41.81,76.17,35,68.82,39.5,54.94,34.29,70.26,0.41
93,54.87,36.14,45.79,37.54,31.16,49.58,36.51,30.41,32.03,44.64,77.27,35,68.35,40,52.72,34.2,69.97,0.94
92.5,52.98,35.87,49.33,37.74,30.94,52.29,36.82,30.53,32.6,47.48,73.37,35,67.67,40,53,33.93,70.07,0.68
102.77,54.08,36.64,48.87,38.67,32.02,46.96,37.51,31.23,35.83,50.71,70.83,35,69.06,39.28,54.44,33.83,70.6,1.31
105.54,56.38,37.12,51.57,39.25,32.26,51.03,37.14,30.8,33.26,49.93,67.03,35,69.69,39,55.69,33.98,71.23,0.56
109.15,54.22,36.72,55.85,40.05,32.77,52.82,35.74,29.5,31.58,44.54,72.9,35,70.17,39,55.24,34.36,69.89,0.38
93.69,56.42,37.56,47.49,39.57,32.91,54.97,38.94,32.42,36.29,53.42,73.47,34.59,70.18,38.5,56.56,33.69,70.13,1.28
111.56,58.21,38.41,50.84,43.57,35.65,53.33,41.24,34.08,38.03,55.79,72.82,34,72.47,37.39,59.39,33.48,71.87,0.83
90.91,55.88,37.58,50.54,39.56,32.94,52.5,39.63,33.2,38.15,54.49,77.55,34,72.63,36.59,61.24,33.53,71.03,1.44
136.14,58.33,39.11,57.26,44.54,36.63,59.74,42.53,35.22,39.91,61.58,77.7,34,73.82,36,63.31,33.18,72.48,1.13
99.87,56.82,38.04,49.13,40.96,34.1,50.05,40.67,33.98,39.37,55.12,75.92,33.76,74.71,36,63.63,33.01,72.95,1.24
98.05,57.02,38.41,55.92,41.73,34.58,48.95,39.6,33.05,35.4,50.67,80.65,33.94,74.63,36,63.35,33.29,72.61,0.74
97.53,56.66,38.72,54.1,42.51,35.01,53.39,41.43,34.52,36.47,54.61,71.97,34,74.32,36.88,62.5,33.28,72.32,0.78
107.04,56.75,38.16,53.98,42.27,34.94,55.32,40.23,33.43,34.06,47.41,73.48,34,73.65,37,60.94,33.63,71.73,0.23
106.3,56.67,38.8,59.39,42.53,35.12,56.83,41.14,34.1,34.4,48.72,75.45,34,73.41,37.74,60.68,33.89,70.6,0.21
125.17,58.11,39.12,68.69,44.34,36.11,81.8,40.78,33.65,33.86,49.36,77.48,34,73.83,38,60.59,34,70.89,0.08
